Date,Open,High,Low,Close,Volume,Adj Close
11/1/2016,59.970001,60.779999,58.52,60.169998,35256300,60.169998
10/3/2016,57.41,61.369999,56.32,59.919998,30536900,59.919998
9/1/2016,57.009998,58.189999,55.610001,57.599998,26492300,57.599998
8/1/2016,56.599998,58.700001,56.139999,57.459999,21214700,57.459999
7/1/2016,51.130001,57.290001,50.389999,56.68,33907300,56.328922
6/1/2016,52.439999,52.950001,48.040001,51.169998,38721200,50.85305
5/2/2016,50,53,49.459999,53,27058000,52.671715
4/1/2016,55.049999,56.77,49.349998,49.869999,35561900,49.216858
3/1/2016,50.970001,55.639999,50.580002,55.23,30339600,54.50666
2/1/2016,54.880001,55.09,48.189999,50.880001,42321200,50.213631
1/4/2016,54.32,55.389999,49.099998,55.09,53181300,53.980919
12/1/2015,54.41,56.849998,53.68,55.48,37199500,54.363068
11/2/2015,52.849998,54.98,52.529999,54.349998,35943400,53.255814
10/1/2015,44.75,54.369999,43.75,52.639999,41050300,51.234901
9/1/2015,42.169998,45,41.66,44.259998,33716100,43.078587
8/3/2015,46.98,48.41,39.720001,43.52,38613300,42.358341
7/1/2015,44.459999,47.400002,43.32,46.700001,34378800,45.155685
6/1/2015,47.060001,47.77,43.939999,44.150002,31852300,42.690014
5/1/2015,48.580002,48.91,46.02,46.860001,33479600,45.310394
4/1/2015,40.599998,49.540001,40.119999,48.639999,44726700,46.727848
3/2/2015,43.669998,44.189999,40.540001,40.66,39055500,39.061562
2/2/2015,40.59,44.299999,40.23,43.849998,36332400,42.126156
1/2/2015,46.66,47.91,40.349998,40.400002,49846300,38.537525
12/1/2014,47.880001,49.060001,44.900002,46.450001,29469200,44.308617
11/3/2014,46.889999,50.049999,46.73,47.810001,28660000,45.605919
10/1/2014,46.27,46.970001,42.099998,46.950001,38656900,44.504864
9/2/2014,45.43,47.57,44.529999,46.360001,42564700,43.945591
8/1/2014,43.209999,45.470001,42.209999,45.43,25501300,43.064022
7/1/2014,41.860001,45.709999,41.049999,43.16,34688800,40.658302
6/2/2014,40.950001,42.290001,39.860001,41.700001,27931400,39.282928
5/1/2014,40.240002,40.970001,38.509998,40.939999,28996600,38.566978
4/1/2014,41.150002,41.66,38.900002,40.400002,37217600,37.791672
3/3/2014,37.919998,41.5,37.490002,40.990002,39300500,38.343578
2/3/2014,37.740002,38.459999,35.689999,38.310001,39290500,35.836609
1/2/2014,37.349998,37.889999,34.630001,37.84,48732700,35.133499
12/2/2013,38.09,38.98,35.529999,37.41,40196200,34.734253
11/1/2013,35.669998,38.290001,35.389999,38.130001,41126100,35.402756
10/1/2013,33.349998,36.290001,32.799999,35.41,43783200,32.629837
9/3/2013,31.75,33.75,30.950001,33.279999,64140000,30.667072
8/1/2013,32.060001,35.200001,30.84,33.400002,49729700,30.777653
7/1/2013,34.75,36.43,31.02,31.84,52501300,29.13483
6/3/2013,34.919998,35.779999,32.57,34.540001,50535000,31.605436
5/1/2013,32.93,35.279999,32.32,34.900002,51273800,31.934851
4/1/2013,28.639999,33.110001,28.110001,33.099998,70041900,30.076874
3/1/2013,27.719999,28.66,27.52,28.610001,45019900,25.996962
2/1/2013,27.67,28.200001,27.1,27.799999,42969800,25.260939
1/2/2013,27.25,28.23,26.280001,27.450001,56932500,24.738092
12/3/2012,26.780001,27.73,26.26,26.709999,49503000,24.071199
11/1/2012,28.84,30.200001,26.34,26.620001,66390700,23.990091
10/1/2012,29.809999,30.25,27.76,28.540001,55946000,25.510778
9/4/2012,30.450001,31.610001,29.74,29.76,49859800,26.601288
8/1/2012,29.59,30.959999,28.969999,30.82,30797300,27.548779
7/2/2012,30.620001,31.049999,28.540001,29.469999,42105900,26.168709
6/1/2012,28.76,31.139999,28.32,30.59,48969400,27.163244
5/1/2012,32.049999,32.34,28.639999,29.190001,47886600,25.920074
4/2/2012,32.220001,32.889999,30.23,32.02,48821800,28.247702
3/1/2012,31.93,32.950001,31.49,32.259998,44277900,28.459425
2/1/2012,29.790001,32,29.709999,31.74,52182700,28.000687
1/3/2012,26.549999,29.950001,26.389999,29.530001,70271500,25.880671
12/1/2011,25.559999,26.190001,25.16,25.959999,49264800,22.75185
11/1/2011,26.190001,27.200001,24.299999,25.58,53693200,22.418812
10/3/2011,24.719999,27.5,24.26,26.629999,60235300,23.164619
9/1/2011,26.459999,27.5,24.6,24.889999,63522800,21.651047
8/1/2011,27.51,27.690001,23.790001,26.6,77332100,23.138523
7/1/2011,25.93,28.15,25.84,27.4,68186100,23.684927
6/1/2011,24.99,26,23.65,26,61376900,22.474749
5/2/2011,25.940001,26.25,24.030001,25.01,67821800,21.61898
4/1/2011,25.530001,26.870001,24.719999,25.92,81658100,22.259691
3/1/2011,26.6,26.780001,24.68,25.389999,59744300,21.804535
2/1/2011,27.799999,28.34,26.43,26.58,61355100,22.826488
1/3/2011,28.049999,29.459999,27.42,27.73,71314300,23.674162
12/1/2010,25.57,28.4,25.559999,27.91,48111900,23.827835
11/1/2010,26.879999,28.870001,24.93,25.26,68402700,21.565428
10/1/2010,24.77,27.200001,23.780001,26.67,66458300,22.630152
9/1/2010,23.67,25.530001,23.540001,24.49,63542900,20.780369
8/2/2010,25.99,26.379999,23.32,23.469999,61156600,19.914873
7/1/2010,23.09,26.41,22.73,25.809999,71053500,21.784212
6/1/2010,25.530001,26.93,22.950001,23.01,79675500,19.420952
5/3/2010,30.67,31.059999,24.559999,25.799999,89381300,21.775772
4/1/2010,29.35,31.58,28.620001,30.540001,65821100,25.66065
3/1/2010,28.77,30.57,28.24,29.290001,51043300,24.610361
2/1/2010,28.389999,29.030001,27.57,28.67,58684900,24.089418
1/4/2010,30.620001,31.24,27.66,28.18,81765200,23.567497
12/1/2009,29.52,31.5,29.25,30.48,43297000,25.491034
11/2/2009,27.700001,30.139999,27.41,29.41,53121400,24.59617
10/1/2009,25.41,29.35,24.43,27.73,72581900,23.089094
9/1/2009,24.35,26.25,23.76,25.719999,52500600,21.415487
8/3/2009,23.82,25.49,23.030001,24.65,49659200,20.524563
7/1/2009,24.049999,25.719999,22,23.52,71441700,19.474182
6/1/2009,21,24.34,20.860001,23.77,67163500,19.681177
5/1/2009,20.190001,20.940001,19.01,20.889999,57362800,17.296583
4/1/2009,18.23,21.200001,18.18,20.26,78563800,16.669092
3/2/2009,15.96,18.879999,14.87,18.370001,78098900,15.114079
2/2/2009,17.030001,19.93,16.1,16.15,81560000,13.287553
1/2/2009,19.530001,21,16.75,17.1,81320700,13.973366
12/1/2008,19.879999,21.25,18.469999,19.440001,72425500,15.885511
11/3/2008,22.48,23.66,17.5,20.219999,95976900,16.522892
10/1/2008,26.379999,27.469999,20.65,22.33,136418800,18.12431
9/2/2008,27.67,27.76,23.5,26.690001,96891900,21.663137
8/1/2008,25.92,28.5,25.07,27.290001,59889700,22.150131
7/1/2008,27.27,27.91,24.870001,25.719999,77180100,20.792898
6/2/2008,28.24,29.57,27.110001,27.51,77060400,22.239994
5/1/2008,28.5,30.530001,27.950001,28.32,69931800,22.894823
4/1/2008,28.83,32.099998,27.93,28.52,69066000,22.971943
3/3/2008,27.24,29.59,26.870001,28.379999,74958500,22.859177
2/1/2008,31.059999,33.25,27.02,27.200001,122099600,21.908726
1/2/2008,35.790001,35.959999,31.040001,32.599998,97806800,26.156618
12/3/2007,33.5,36.720001,32.630001,35.599998,55002300,28.563669
11/1/2007,36.529999,37.5,32.68,33.599998,90565400,26.958969
10/1/2007,29.459999,37,29.290001,36.810001,85117900,29.437187
9/4/2007,28.5,29.85,28.27,29.459999,61223000,23.559345
8/1/2007,28.950001,30.1,27.51,28.73,55264800,22.975559
7/2/2007,29.67,31.84,28.950001,28.99,64862000,23.102507
6/1/2007,30.790001,30.9,29.040001,29.469999,59647900,23.485025
5/1/2007,29.940001,31.16,29.9,30.690001,64202000,24.45726
4/2/2007,27.889999,30.74,27.559999,29.940001,51337600,23.782534
3/1/2007,27.82,28.549999,26.6,27.870001,59843900,22.13825
2/1/2007,30.84,30.940001,27.790001,28.17,72483300,22.376551
1/3/2007,29.91,31.48,29.4,30.860001,69924300,24.428621
12/1/2006,29.23,30.26,28.799999,29.860001,58945000,23.637026
11/1/2006,28.780001,30,28.58,29.360001,61544700,23.24123
10/2/2006,27.32,28.85,27.15,28.709999,61492200,22.64926
9/1/2006,25.889999,27.52,25.389999,27.35,56588300,21.576359
8/1/2006,24.02,26.25,23.85,25.700001,50459500,20.274677
7/3/2006,23.530001,24.6,22.23,24.059999,68627600,18.911243
6/1/2006,22.74,23.65,21.459999,23.299999,92940200,18.313881
5/1/2006,24.32,25,22.450001,22.65,110427000,17.802979
4/3/2006,27.67,27.940001,24,24.15,107219900,18.908251
3/1/2006,26.98,28.219999,26.620001,27.209999,65223100,21.304077
2/1/2006,27.959999,28.07,26.34,26.870001,58565000,21.037876
1/3/2006,26.25,28.379999,26.1,28.15,74173200,21.965622
12/1/2005,27.73,28.1,26.1,26.15,62892300,20.405008
11/1/2005,25.610001,28.25,25.610001,27.68,71469100,21.598879
10/3/2005,25.709999,25.799999,24.25,25.700001,72132400,19.995256
9/1/2005,27.379999,27.389999,25.120001,25.73,66976400,20.018597
8/1/2005,25.809999,27.940001,25.76,27.379999,65529900,21.302338
7/1/2005,24.85,26.48,24.5,25.610001,69046600,19.866304
6/1/2005,25.73,26,24.82,24.84,62956700,19.268995
5/2/2005,25.23,26.09,24.639999,25.799999,62699700,20.013691
4/1/2005,24.24,25.450001,23.940001,25.299999,77090200,19.563772
3/1/2005,25.190001,25.790001,23.82,24.17,72899700,18.689976
2/1/2005,26.25,26.5,25.129999,25.16,75992300,19.455513
1/3/2005,26.799999,27.1,25.639999,26.280001,79642800,20.259075
12/1/2004,26.950001,27.440001,26.68,26.719999,84488000,20.598267
11/1/2004,28.16,30.200001,26.1,26.809999,86446000,20.667646
10/1/2004,27.82,28.889999,27.549999,27.969999,65742900,19.345982
9/1/2004,27.23,27.790001,26.74,27.65,57725200,19.124647
8/2/2004,28.27,28.549999,26.85,27.299999,52104600,18.882563
7/1/2004,28.700001,29.889999,27.25,28.49,76666600,19.64769
6/1/2004,26.129999,28.799999,25.860001,28.559999,77068200,19.695965
5/3/2004,26.190001,26.6,25.42,26.23,58942400,18.089115
4/1/2004,24.950001,27.719999,24.85,26.129999,77386600,18.020151
3/1/2004,26.629999,26.719999,24.01,24.93,77111900,17.192591
2/2/2004,27.610001,27.799999,26.35,26.530001,57385900,18.296007
1/2/2004,27.58,28.83,27.26,27.65,63635800,19.068398
12/1/2003,25.9,27.549999,25.5,27.370001,69030000,18.875299
