Date,Open,High,Low,Close,Volume,Adj Close
2016-11-01,42.400002,42.43,41.91,42.029999,15529900,42.029999
2016-10-03,42.310001,43.029999,41.400002,42.400002,13246000,42.400002
2016-09-01,43.209999,43.830002,41.849998,42.32,12637200,42.32
2016-08-01,43.689999,44.330002,43.080002,43.43,10666700,43.078056
2016-07-01,45.330002,45.939999,43.099998,43.630001,12624400,43.276436
2016-06-01,44.599998,46.009998,43.32,45.330002,12797200,44.962658
2016-05-02,44.57,45.900002,43.939999,44.599998,11857600,43.901901
2016-04-01,46.139999,47.130001,42.869999,44.799999,15666500,44.09877
2016-03-01,43.380001,46.880001,43.169998,46.389999,16490100,45.663883
2016-02-01,42.599998,44.18,41.900002,43.130001,15959100,42.126385
2016-01-04,42.34,43.259998,40.75,42.919998,17794700,41.921268
2015-12-01,42.73,43.91,41.970001,42.959999,13456600,41.960339
2015-11-02,42.32,43.599998,41.34,42.619999,13409600,41.62825
2015-10-01,40.220001,43.849998,39.360001,42.349998,17344700,41.049721
2015-09-01,38.669998,40.23,37.84,40.119999,17477900,38.888191
2015-08-03,40.849998,42.25,36.560001,39.32,16927000,37.785393
2015-07-01,39.380001,41.599998,39.220001,41.080002,12878300,39.476704
2015-06-01,41.360001,41.41,39.119999,39.23,13768400,37.698906
2015-05-01,40.580002,41.689999,40.389999,40.959999,12511000,39.03931
2015-04-01,40.790001,41.610001,40.099998,40.560001,14129500,38.65807
2015-03-02,43.299999,43.299999,39.610001,40.549999,17606500,38.648537
2015-02-02,41.209999,43.66,40.900002,43.299999,16840000,40.929958
2015-01-02,42.259998,43.830002,41.110001,41.169998,15614100,38.916542
2014-12-01,44.18,44.77,39.799999,42.220001,15283100,39.909073
2014-11-03,41.790001,45.00,41.59,44.830002,13926600,42.376217
2014-10-01,42.549999,44.869999,40.099998,41.880001,23840900,39.315926
2014-09-02,41.52,42.810001,41.18,42.66,16068700,40.048168
2014-08-01,39.130001,41.75,39.060001,41.720001,12168100,38.88245
2014-07-01,42.389999,42.57,39.25,39.290001,13560900,36.617725
2014-06-02,40.75,42.490002,40.150002,42.360001,14095800,39.47892
2014-05-01,40.790001,41.220001,40.259998,40.91,10670100,37.842937
2014-04-01,38.529999,41.279999,38.040001,40.790001,18813600,37.731934
2014-03-03,37.880001,39.029999,37.849998,38.66,17788700,35.761623
2014-02-03,38.02,39.02,36.889999,38.200001,21105000,35.058338
