,ind,company,pct,Mean Return,Ret_bracket,Variance,Vol_bracket,Volatility,portfolio,key,is_optimal
12967,4322,AMD,0.02,0.0240554247452,0.024,0.0104826874299,0.102,0.102384996117,AAPL_AMD_BAC,"AAPL, AMD, BAC 4322",1.0
12968,4322,BAC,0.19,0.0240554247452,0.024,0.0104826874299,0.102,0.102384996117,AAPL_AMD_BAC,"AAPL, AMD, BAC 4322",1.0
13077,4359,AAPL,0.81,0.0243363389479,0.024,0.0106658013666,0.103,0.103275366698,AAPL_AMD_BAC,"AAPL, AMD, BAC 4359",1.0
13078,4359,AMD,0.01,0.0243363389479,0.024,0.0106658013666,0.103,0.103275366698,AAPL_AMD_BAC,"AAPL, AMD, BAC 4359",1.0
13079,4359,BAC,0.18,0.0243363389479,0.024,0.0106658013666,0.103,0.103275366698,AAPL_AMD_BAC,"AAPL, AMD, BAC 4359",1.0
13131,4377,AAPL,0.82,0.0244987178856,0.024,0.0108148027287,0.104,0.103994243729,AAPL_AMD_BAC,"AAPL, AMD, BAC 4377",1.0
13132,4377,AMD,0.01,0.0244987178856,0.024,0.0108148027287,0.104,0.103994243729,AAPL_AMD_BAC,"AAPL, AMD, BAC 4377",1.0
13133,4377,BAC,0.17,0.0244987178856,0.024,0.0108148027287,0.104,0.103994243729,AAPL_AMD_BAC,"AAPL, AMD, BAC 4377",1.0
13203,4401,AAPL,0.84,0.0248234757611,0.025,0.0111266222104,0.105,0.105482805283,AAPL_AMD_BAC,"AAPL, AMD, BAC 4401",1.0
13204,4401,AMD,0.01,0.0248234757611,0.025,0.0111266222104,0.105,0.105482805283,AAPL_AMD_BAC,"AAPL, AMD, BAC 4401",1.0
13205,4401,BAC,0.15,0.0248234757611,0.025,0.0111266222104,0.105,0.105482805283,AAPL_AMD_BAC,"AAPL, AMD, BAC 4401",1.0
13239,4413,AAPL,0.85,0.0249858546988,0.025,0.0112894403301,0.106,0.106251778009,AAPL_AMD_BAC,"AAPL, AMD, BAC 4413",1.0
13240,4413,AMD,0.01,0.0249858546988,0.025,0.0112894403301,0.106,0.106251778009,AAPL_AMD_BAC,"AAPL, AMD, BAC 4413",1.0
13241,4413,BAC,0.14,0.0249858546988,0.025,0.0112894403301,0.106,0.106251778009,AAPL_AMD_BAC,"AAPL, AMD, BAC 4413",1.0
13275,4425,AAPL,0.86,0.0251482336365,0.025,0.0114568640356,0.107,0.107036741522,AAPL_AMD_BAC,"AAPL, AMD, BAC 4425",1.0
13276,4425,AMD,0.01,0.0251482336365,0.025,0.0114568640356,0.107,0.107036741522,AAPL_AMD_BAC,"AAPL, AMD, BAC 4425",1.0
13277,4425,BAC,0.13,0.0251482336365,0.025,0.0114568640356,0.107,0.107036741522,AAPL_AMD_BAC,"AAPL, AMD, BAC 4425",1.0
13311,4437,AAPL,0.87,0.025354456247,0.025,0.011753078295,0.108,0.10841161513,AAPL_AMD_BAC,"AAPL, AMD, BAC 4437",1.0
13312,4437,AMD,0.02,0.025354456247,0.025,0.011753078295,0.108,0.10841161513,AAPL_AMD_BAC,"AAPL, AMD, BAC 4437",1.0
13313,4437,BAC,0.11,0.025354456247,0.025,0.011753078295,0.108,0.10841161513,AAPL_AMD_BAC,"AAPL, AMD, BAC 4437",1.0
13374,4458,AAPL,0.89,0.0256353704498,0.026,0.0119867686673,0.109,0.10948410235,AAPL_AMD_BAC,"AAPL, AMD, BAC 4458",1.0
13375,4458,AMD,0.01,0.0256353704498,0.026,0.0119867686673,0.109,0.10948410235,AAPL_AMD_BAC,"AAPL, AMD, BAC 4458",1.0
13376,4458,BAC,0.1,0.0256353704498,0.026,0.0119867686673,0.109,0.10948410235,AAPL_AMD_BAC,"AAPL, AMD, BAC 4458",1.0
13404,4468,AAPL,0.9,0.0257977493875,0.026,0.0121726147162,0.11,0.110329573172,AAPL_AMD_BAC,"AAPL, AMD, BAC 4468",1.0
13405,4468,AMD,0.01,0.0257977493875,0.026,0.0121726147162,0.11,0.110329573172,AAPL_AMD_BAC,"AAPL, AMD, BAC 4468",1.0
13406,4468,BAC,0.09,0.0257977493875,0.026,0.0121726147162,0.11,0.110329573172,AAPL_AMD_BAC,"AAPL, AMD, BAC 4468",1.0
13428,4476,AAPL,0.91,0.0259601283252,0.026,0.012363066351,0.111,0.111189326606,AAPL_AMD_BAC,"AAPL, AMD, BAC 4476",1.0
13429,4476,AMD,0.01,0.0259601283252,0.026,0.012363066351,0.111,0.111189326606,AAPL_AMD_BAC,"AAPL, AMD, BAC 4476",1.0
13430,4476,BAC,0.08,0.0259601283252,0.026,0.012363066351,0.111,0.111189326606,AAPL_AMD_BAC,"AAPL, AMD, BAC 4476",1.0
13452,4484,AAPL,0.92,0.026122507263,0.026,0.0125581235717,0.112,0.112063033922,AAPL_AMD_BAC,"AAPL, AMD, BAC 4484",1.0
13453,4484,AMD,0.01,0.026122507263,0.026,0.0125581235717,0.112,0.112063033922,AAPL_AMD_BAC,"AAPL, AMD, BAC 4484",1.0
13454,4484,BAC,0.07,0.026122507263,0.026,0.0125581235717,0.112,0.112063033922,AAPL_AMD_BAC,"AAPL, AMD, BAC 4484",1.0
13470,4490,AAPL,0.93,0.0262848862007,0.026,0.0127577863782,0.113,0.112950371306,AAPL_AMD_BAC,"AAPL, AMD, BAC 4490",1.0
13471,4490,AMD,0.01,0.0262848862007,0.026,0.0127577863782,0.113,0.112950371306,AAPL_AMD_BAC,"AAPL, AMD, BAC 4490",1.0
13472,4490,BAC,0.06,0.0262848862007,0.026,0.0127577863782,0.113,0.112950371306,AAPL_AMD_BAC,"AAPL, AMD, BAC 4490",1.0
13491,4497,AAPL,0.94,0.0264911088112,0.026,0.0131064635596,0.114,0.114483464132,AAPL_AMD_BAC,"AAPL, AMD, BAC 4497",1.0
13492,4497,AMD,0.02,0.0264911088112,0.026,0.0131064635596,0.114,0.114483464132,AAPL_AMD_BAC,"AAPL, AMD, BAC 4497",1.0
13493,4497,BAC,0.04,0.0264911088112,0.026,0.0131064635596,0.114,0.114483464132,AAPL_AMD_BAC,"AAPL, AMD, BAC 4497",1.0
13503,4501,AAPL,0.95,0.0266534877489,0.027,0.0133182266551,0.115,0.115404621463,AAPL_AMD_BAC,"AAPL, AMD, BAC 4501",1.0
13504,4501,AMD,0.02,0.0266534877489,0.027,0.0133182266551,0.115,0.115404621463,AAPL_AMD_BAC,"AAPL, AMD, BAC 4501",1.0
13505,4501,BAC,0.03,0.0266534877489,0.027,0.0133182266551,0.115,0.115404621463,AAPL_AMD_BAC,"AAPL, AMD, BAC 4501",1.0
13512,4504,AAPL,0.96,0.0267720230139,0.027,0.013384408313,0.116,0.115691003596,AAPL_AMD_BAC,"AAPL, AMD, BAC 4504",1.0
13513,4504,AMD,0.01,0.0267720230139,0.027,0.013384408313,0.116,0.115691003596,AAPL_AMD_BAC,"AAPL, AMD, BAC 4504",1.0
13514,4504,BAC,0.03,0.0267720230139,0.027,0.013384408313,0.116,0.115691003596,AAPL_AMD_BAC,"AAPL, AMD, BAC 4504",1.0
13521,4507,AAPL,0.97,0.0269782456244,0.027,0.0137555696037,0.117,0.117284140461,AAPL_AMD_BAC,"AAPL, AMD, BAC 4507",1.0
