Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,46.562500,48.468750,40.250000,43.031250,27.321186,153516200
2000-02-01,42.718750,43.156250,35.031250,36.000000,22.856955,186522000
2000-03-01,36.125000,41.125000,33.062500,35.125000,22.381735,279805400
2000-04-01,35.312500,42.218750,35.000000,41.250000,26.284607,170787400
2000-05-01,41.125000,45.000000,40.937500,44.750000,28.514816,120208200
2000-06-01,44.625000,50.992149,41.250000,50.937500,32.575298,149885600
2000-07-01,50.625000,50.718750,45.125000,46.531250,29.757414,134047800
2000-08-01,46.250000,49.437500,45.625000,45.976551,29.402689,100354600
2000-09-01,46.250000,48.906250,45.156250,46.968750,30.136633,96535000
2000-10-01,47.093750,48.750000,45.156250,46.062500,29.555166,142009400
2000-11-01,46.000000,51.500000,44.593750,50.000000,32.081585,138432000
2000-12-01,49.625000,52.968750,47.625000,52.531250,33.820610,139899600
2001-01-01,52.000000,52.343750,45.187500,46.564999,29.979439,168446600
2001-02-01,46.564999,49.125000,46.564999,48.665001,31.331446,116971800
2001-03-01,48.900002,49.924999,40.250000,43.735001,28.251934,295296000
2001-04-01,43.750000,48.349998,42.595001,48.240002,31.162081,209600800
2001-05-01,48.299999,51.000000,47.910000,48.474998,31.313881,184641400
2001-06-01,48.480000,54.200001,48.299999,49.959999,32.388977,187599900
2001-07-01,50.099998,54.980000,50.000000,54.099998,35.072933,164167000
2001-08-01,54.099998,57.599998,52.299999,52.709999,34.171803,163136000
2001-09-01,55.349998,57.160000,50.200001,55.400002,36.033882,176432200
2001-10-01,55.400002,59.660000,53.049999,57.910000,37.666462,181677000
2001-11-01,57.580002,60.970001,57.509998,58.250000,37.887630,144831900
2001-12-01,57.820000,60.180000,55.419998,59.099998,38.556152,169195500
2002-01-01,58.900002,60.099998,56.599998,57.509998,37.518856,131885400
2002-02-01,57.259998,60.970001,54.700001,60.900002,39.730453,131715000
2002-03-01,60.900002,65.889999,60.599998,64.949997,42.504322,154776300
2002-04-01,64.199997,65.290001,61.779999,63.860001,41.791027,160057900
2002-05-01,63.970001,64.629997,59.160000,61.349998,40.148430,162571200
2002-06-01,61.099998,61.740002,52.000000,52.259998,34.315960,185599200
2002-07-01,51.700001,54.849998,41.400002,52.599998,34.539223,343494700
2002-08-01,53.000000,56.500000,49.750000,54.310001,35.662079,159253500
2002-09-01,53.880001,56.250000,51.450001,54.080002,35.641590,146893100
2002-10-01,54.950001,61.299999,54.299999,58.750000,38.719379,223245600
2002-11-01,58.330002,61.240002,56.299999,57.020000,37.579216,134767300
2002-12-01,56.590000,57.070000,53.000000,53.709999,35.518181,143258800
2003-01-01,54.250000,57.549999,51.540001,53.610001,35.452049,157116600
2003-02-01,53.500000,53.950001,49.099998,52.450001,34.684948,139008100
2003-03-01,53.160000,58.680000,51.500000,57.869999,38.426720,160153900
2003-04-01,57.869999,59.080002,53.950001,56.360001,37.424061,159363100
2003-05-01,56.360001,57.520000,52.549999,54.349998,36.089378,161675800
2003-06-01,54.349998,55.570000,50.750000,51.700001,34.478973,216949500
2003-07-01,51.700001,54.240002,50.549999,51.790001,34.539017,180959900
